Property Address,Property Name,Building Class,Star Rating,Energy Star,LEED Certified,Building Status,Number Of Units,Style,RBA,Secondary Type,Market Name,Submarket Name,City,State,Zip,County Name,For Sale Price,For Sale Status,Year Built,Year Renovated,Number Of Stories,$Price/Unit,Cap Rate,Vacancy %,Avg Unit SF,Avg Asking/Unit,Avg Asking/SF,Avg Effective/Unit,Avg Effective/SF,Avg Concessions %,% Studios,% 1-Bed,% 2-Bed,% 3-Bed,% 4-Bed,Rent Type,Affordable Type,Market Segment,Parking Spaces/Unit,Number Of Parking Spaces,Days On Market,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,One Bedroom Asking Rent/Bed,One Bedroom Asking Rent/SF,One Bedroom Asking Rent/Unit,One Bedroom Avg SF,One Bedroom Concessions %,One Bedroom Effective Rent/Bed,One Bedroom Effective Rent/SF,One Bedroom Effective Rent/Unit,One Bedroom Vacancy %,One Bedroom Vacant Units,Two Bedroom Asking Rent/Bed,Two Bedroom Asking Rent/SF,Two Bedroom Asking Rent/Unit,Two Bedroom Avg SF,Two Bedroom Concessions %,Two Bedroom Effective Rent/Bed,Two Bedroom Effective Rent/SF,Two Bedroom Effective Rent/Unit,Two Bedroom Vacancy %,Two Bedroom Vacant Units,Three Bedroom Asking Rent/Bed,Three Bedroom Asking Rent/SF,Three Bedroom Asking Rent/Unit,Three Bedroom Avg SF,Three Bedroom Concessions %,Three Bedroom Effective Rent/Bed,Three Bedroom Effective Rent/SF,Three Bedroom Effective Rent/Unit,Three Bedroom Vacancy %,Three Bedroom Vacant Units,Four Bedroom Asking Rent/Bed,Four Bedroom Asking Rent/SF,Four Bedroom Asking Rent/Unit,Four Bedroom Avg SF,Four Bedroom Concessions %,Four Bedroom Effective Rent/Bed,Four Bedroom Effective Rent/SF,Four Bedroom Effective Rent/Unit,Four Bedroom Vacancy %,Four Bedroom Vacant Units,Longitude,Latitude
3739-3751 Ward Blvd,,C,2,,,Existing,16,Low-Rise,15388,Apartments,North Carolina East,Rocky Mount/Wilson,Wilson,NC,27893,Wilson,,N,1977,,2,,,6.5,,,,,,0.00,,,,,,Market,,All,2.50,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.9060534,35.7458341
1709 Washington St,,C,2,,,Existing,1,,750,Apartments,North Carolina East,,Wilson,NC,27893-5563,Wilson,,N,,,,,,3.2,,,,,,0.00,,,100.00,,,Market,,All,,,0,,1,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.89123,35.71584
107 N Wheeless Dr,Hampton Village,B,3,,,Existing,120,Garden,113400,Apartments,North Carolina East,,Nashville,NC,27856-1834,Nash,,N,1999,,2,,,0.2,735.00,703,0.96,702,0.95,0.30,,20.00,76.67,3.33,,Market,,All,,,0,24,92,4,,648,1.05,648,619,0.30,646,1.04,646,0.00,0,354,0.95,709,745,0.30,354,0.95,707,0.00,0,304,0.76,913,1200,0.20,304,0.76,911,0.00,0,,,,,,,,,,,-77.9525376,35.9738902
3417 Widgeon St SW,,C,2,,,Existing,7,,6498,Apartments,North Carolina East,,Wilson,NC,27893-9259,Wilson,,N,,,,,,3.2,"1,083.00",,,,,0.00,,,100.00,,,Market,,,5.00,35,0,,7,,,,,,,,,,,,,,,,1083,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.9656637,35.7159982
1159 Williford St,,C,2,,,Existing,8,Low-Rise,8263,Apartments,North Carolina East,,Rocky Mount,NC,27803,Nash,,N,,,1,,,1.9,,,,,,0.00,,,100.00,,,Market,,All,2.00,16,0,,8,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.8216311,35.9298269
237 S Winstead Ave,Tau Valley,B,3,,,Existing,155,Garden,193290,Apartments,North Carolina East,Rocky Mount/Wilson,Rocky Mount,NC,27804-3426,Nash,,N,1978,,2,,,2.7,"1,094.00","1,113",1.02,"1,108",1.01,0.50,,23.87,52.26,23.87,,Market,,All,,,0,37,81,37,,936,1.22,936,770,0.50,932,1.21,932,2.70,1,523,0.96,"1,046",1085,0.50,521,0.96,"1,041",2.50,2,479,1.00,"1,438",1438,0.50,477,1.00,"1,431",2.70,1,,,,,,,,,,,-77.8481974,35.9607848
802 Woodard St,,C,2,,,Existing,6,Low-Rise,4727,Apartments,North Carolina East,Downtown Wilson,Wilson,NC,27893,Wilson,,N,1970,,2,,,4.6,,,,,,0.00,,,100.00,,,Market,,All,1.33,8,0,,6,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.9126109,35.7376519
1700 Augusta Cir SE,,C,2,,,Existing,43,Garden,35000,Apartments,North Carolina East,Rocky Mount/Wilson,Wilson,NC,27893,Wilson,,N,1987,,1,,,,,,,,,0.00,,,,,,Market,,All,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.897002,35.7061534
1101 S Brake St,Richardson Court Apartments,B,3,,,Existing,50,Low-Rise,9436,Apartments,Rocky Mount,,Nashville,NC,27856-1670,Nash,,N,,,2,,,1.9,,,,,,0.00,,100.00,,,,Market,,All,,,0,50,,,,,,,,,,,,2.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.9623084,35.9609295
520 Cascade Ave,,C,2,,,Existing,8,Low-Rise,4374,Apartments,North Carolina East,,Rocky Mount,NC,27803-3963,Nash,,N,,,1,,,1.9,949.00,,,,,0.00,,,100.00,,,Market,,All,,,0,,8,,,,,,,,,,,,,,,,949,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.8137367,35.926109
1004 College Cir,,C,2,,,Existing,1,,780,Apartments,North Carolina East,Rocky Mount/Wilson,Wilson,NC,27893-2554,Wilson,,N,1950,,,,,6.5,,,,,,0.00,,,100.00,,,Market,,All,,,0,,1,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.91545,35.74036
1008 College Cir,,C,2,,,Existing,1,,780,Apartments,North Carolina East,Rocky Mount/Wilson,Wilson,NC,27893-2554,Wilson,,N,1950,,,,,6.5,,,,,,0.00,,,100.00,,,Market,,All,,,0,,1,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.91574,35.74049
1100 Crescent Meadows Dr,Cottages at Cross Creek,B,3,,,Existing,36,Garden,43236,Apartments,North Carolina East,Rocky Mount/Wilson,Nashville,NC,27856-7710,Nash,,N,2007,,1,,,11.0,,972,,962,,1.00,,,,100.00,,Market,,All,,,0,,,36,,,,,,,,,,,,,,,,,,,,,,324,,972,,1.00,321,,962,11.10,4,,,,,,,,,,,-77.936889,35.9547186
4206 Cypress Dr NW,,B,3,,,Existing,2,Low-Rise,2422,Apartments,North Carolina East,Rocky Mount/Wilson,Wilson,NC,27896-7615,Wilson,,N,2000,,1,,,6.5,,,,,,0.00,,,,,,Market,,All,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.9686906,35.756167
822 Falls Rd,,C,2,,,Existing,7,Low-Rise,4440,Apartments,North Carolina East,,Rocky Mount,NC,27804-2760,Nash,,N,,,1,,,1.9,949.00,,,,,0.00,,,100.00,,,Market,,All,,,0,,7,,,,,,,,,,,,,,,,949,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.7999327,35.9542536
12821 W Hanes Ave,Middlesex Manor,C,3,,,Existing,16,Low-Rise,17114,Apartments,North Carolina East,,Middlesex,NC,27557-9230,Nash,,N,,,2,,,1.9,958.00,800,0.83,797,0.83,0.40,,,100.00,,,Market,,All,,,0,,16,,,,,,,,,,,,,400,0.83,800,958,0.40,398,0.83,797,0.00,0,,,,,,,,,,,,,,,,,,,,,-78.2108641,35.7893585
209 Hill St NE,,C,3,,,Existing,7,Low-Rise,6241,Apartments,North Carolina East,Downtown Wilson,Wilson,NC,27893-3862,Wilson,,N,1969,,,,,4.6,,,,,,0.00,100.00,,,,,Market,,All,0.00,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.9122998,35.7304153
1301-1323 Leggett Rd,New Rockwood Place,B,3,,,Existing,50,Garden,42761,Apartments,North Carolina East,Rocky Mount/Wilson,Rocky Mount,NC,27801-2600,Edgecombe,,N,1969,2017,1,,,2.0,835.00,764,0.92,764,0.92,0.00,,,48.00,52.00,,Market,,All,2.00,100,0,,24,26,,,,,,,,,,,,376,1.00,751,754,0.00,376,1.00,751,0.00,0,259,0.85,776,910,0.00,259,0.85,776,3.90,1,,,,,,,,,,,-77.7711886,35.9600961
